GeoFIPS,GeoName,GDP,year
01001,"Autauga, AL",1883611,2022
01003,"Baldwin, AL",9224845,2022
01005,"Barbour, AL",748152,2022
01007,"Bibb, AL",458937,2022
01009,"Blount, AL",1041201,2022
01011,"Bullock, AL",258330,2022
01013,"Butler, AL",647451,2022
01015,"Calhoun, AL",4663474,2022
01017,"Chambers, AL",875745,2022
01019,"Cherokee, AL",608839,2022
01021,"Chilton, AL",1144511,2022
01023,"Choctaw, AL",531061,2022
01025,"Clarke, AL",793718,2022
01027,"Clay, AL",447083,2022
01029,"Cleburne, AL",333754,2022
01031,"Coffee, AL",1713754,2022
01033,"Colbert, AL",2706227,2022
01035,"Conecuh, AL",354394,2022
01037,"Coosa, AL",190382,2022
01039,"Covington, AL",1240148,2022
01041,"Crenshaw, AL",459492,2022
01043,"Cullman, AL",3158691,2022
01045,"Dale, AL",2918859,2022
01047,"Dallas, AL",1259304,2022
01049,"DeKalb, AL",2302198,2022
01051,"Elmore, AL",2089684,2022
01053,"Escambia, AL",1226004,2022
01055,"Etowah, AL",2977378,2022
01057,"Fayette, AL",345675,2022
01059,"Franklin, AL",1053467,2022
01061,"Geneva, AL",584681,2022
01063,"Greene, AL",202091,2022
01065,"Hale, AL",246513,2022
01067,"Henry, AL",468017,2022
01069,"Houston, AL",5860348,2022
01071,"Jackson, AL",1563105,2022
01073,"Jefferson, AL",49224090,2022
01075,"Lamar, AL",326295,2022
01077,"Lauderdale, AL",2822630,2022
01079,"Lawrence, AL",642547,2022
01081,"Lee, AL",6624257,2022
01083,"Limestone, AL",4895170,2022
01085,"Lowndes, AL",401737,2022
01087,"Macon, AL",553588,2022
01089,"Madison, AL",29457107,2022
01091,"Marengo, AL",784367,2022
01093,"Marion, AL",960898,2022
01095,"Marshall, AL",3932961,2022
01097,"Mobile, AL",22260072,2022
01099,"Monroe, AL",617662,2022
01101,"Montgomery, AL",14712897,2022
01103,"Morgan, AL",6204789,2022
01105,"Perry, AL",183980,2022
01107,"Pickens, AL",397859,2022
01109,"Pike, AL",1560024,2022
01111,"Randolph, AL",506823,2022
01113,"Russell, AL",1653309,2022
01115,"St. Clair, AL",2111458,2022
01117,"Shelby, AL",13281571,2022
01119,"Sumter, AL",310690,2022
01121,"Talladega, AL",3275928,2022
01123,"Tallapoosa, AL",1438724,2022
01125,"Tuscaloosa, AL",10422989,2022
01127,"Walker, AL",1802695,2022
01129,"Washington, AL",893673,2022
01131,"Wilcox, AL",337489,2022
01133,"Winston, AL",757243,2022
02013,"Aleutians East Borough, AK",302631,2022
02016,"Aleutians West Census Area, AK",717884,2022
02020,"Anchorage Municipality, AK",23489416,2022
02050,"Bethel Census Area, AK",667019,2022
02060,"Bristol Bay Borough, AK",152465,2022
02063,"Chugach Census Area, AK*",1428622,2022
02066,"Copper River Census Area, AK*",128639,2022
02068,"Denali Borough, AK",281489,2022
02070,"Dillingham Census Area, AK",246388,2022
02090,"Fairbanks North Star Borough, AK",5556842,2022
02100,"Haines Borough, AK",96965,2022
02105,"Hoonah-Angoon Census Area, AK*",100497,2022
02110,"Juneau City and Borough, AK",2406835,2022
02122,"Kenai Peninsula Borough, AK",2463946,2022
02130,"Ketchikan Gateway Borough, AK*",872480,2022
02150,"Kodiak Island Borough, AK",813289,2022
02158,"Kusilvak Census Area, AK*",153012,2022
02164,"Lake and Peninsula Borough, AK",85413,2022
02170,"Matanuska-Susitna Borough, AK",3129200,2022
02180,"Nome Census Area, AK",459029,2022
02185,"North Slope Borough, AK",4952980,2022
02188,"Northwest Arctic Borough, AK",583781,2022
02195,"Petersburg Borough, AK*",163405,2022
02198,"Prince of Wales-Hyder Census Area, AK*",243428,2022
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),2022
02220,"Sitka City and Borough, AK",527733,2022
