GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
998,United States (Metropolitan Portion),11886899208,12088847011,12424725501,12901126192,13376451615,13737277924,13967226281,13922584263,13527734240,13845441884,14034693323,14326874576,14539647445,14911194849,15377266436,15646223631,16030109264,16504746972
10180,"Abilene, TX (Metropolitan Statistical Area)",4831387,4905212,4973755,5098449,5205916,5688636,5938272,6048755,5910471,6103245,6124105,6304173,6398366,6533062,6512380,6437424,6565925,6850284
10420,"Akron, OH (Metropolitan Statistical Area)",27841099,29055437,29817293,30430372,31081544,31151400,31595473,31540576,29505000,30124290,30348492,30394149,30782127,31632884,32080122,32113046,32374943,32912839
10500,"Albany, GA (Metropolitan Statistical Area)",5499100,5547080,5605710,5651416,5790084,5767999,5679490,5528688,5421746,5341783,5393551,5341035,5265937,5179108,5068956,5161807,5224058,5324036
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3360082,3575749,3430360,3686902,3752855,4108934,3887860,3734646,3648549,3572329,3609359,3610250,3643282,3654602,3861453,4072242,4210211,4418178
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",42232297,42709728,44033835,44963420,45621416,47068055,47105080,47732725,48863290,48892808,48697857,48815555,49178824,49996435,50654280,51463668,52128025,52367618
10740,"Albuquerque, NM (Metropolitan Statistical Area)",29960953,30264615,33189445,37611638,37513020,38051965,37467353,37114817,38386065,37518103,37140778,37008279,35865819,36697847,37189493,38020626,37669706,38444417
10780,"Alexandria, LA (Metropolitan Statistical Area)",4737996,4887718,4906665,5129359,5360072,5499463,5157315,5222555,5473839,5612875,5698956,5663261,5590783,5531718,5470089,5582404,5598158,5660041
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42922281,43033504,39341956,36093587,35903549,35631103,37175637,37435790,36202571,37176686,37227898,37210886,37889106,38411673,39178397,39745497,39570402,40511705
11020,"Altoona, PA (Metropolitan Statistical Area)",4608930,4611762,4733838,4876042,4952603,5062748,5135992,5114692,5057520,5167803,5149746,5108397,5136921,5184028,5231330,5195441,5260675,5354290
11100,"Amarillo, TX (Metropolitan Statistical Area)",9445182,9700564,9842432,9918294,9915443,10571986,10872622,10986088,10903863,11254504,11258855,11503486,11633824,11934423,12274232,12217667,12185359,12629493
11180,"Ames, IA (Metropolitan Statistical Area)",3991778,4164461,4322870,4472993,4568103,4703511,4791883,4957011,4782740,4797514,4990931,5227143,5474951,5666219,5635680,5539101,5633048,5782942
11260,"Anchorage, AK (Metropolitan Statistical Area)",17634183,17907640,18274479,18569711,19250484,19366011,19764438,20712996,21379163,22369669,22768811,22919845,22379442,22288808,23145887,22675535,22194342,22598036
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",19122553,20141168,20304773,20049276,20471233,19952538,20208800,19240709,17869911,18495449,18752145,19228030,19285470,19446252,20096509,20688097,21313699,21963864
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3437327,3549087,3655936,3948791,4188694,4325004,4496930,4584663,4328413,4545958,4336177,4260733,4047949,3881163,3810823,3862408,3861148,3950436
11540,"Appleton, WI (Metropolitan Statistical Area)",9619180,9611496,9884448,10242240,10519544,10574619,10697845,10524829,10267554,10437458,10705334,10906039,10688450,10869120,11164626,11428497,11548960,11806167
11700,"Asheville, NC (Metropolitan Statistical Area)",13072808,13513105,13753624,14218575,14634292,15248779,14992617,15018781,14366017,14911441,15095979,14934930,15307703,15925332,16460285,16938621,17323369,17970247
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",6578667,6669496,6972807,7126237,7268098,7370825,7496643,7581996,7561103,7616210,7545522,7725794,7881018,7989790,8248732,8441939,8730445,8955390
