PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,PWNETWPG
6,4,3,2,4,115525,4,1,3,2,35,1000000,16000,90000,0,0,0,0,3713000
7,4,3,2,9,121300,2,1,3,9,47,625000,2900,15500,0,0,0,145000,1740900
5,4,3,2,4,19175,2,1,3,0,48,875000,5000,50000,0,0,0,40000,3672500
6,3,3,2,4,147425,2,2,2,2,35,500000,1050,11500,180000,0,18500,10000,2809050
4,4,3,2,3,56750,1,3,1,1,35,0,0,0,0,0,0,0,471900
3,3,2,1,4,107700,2,3,1,2,12,0,35000,45000,0,12000,9000,0,240475
5,3,2,2,3,17125,1,1,3,0,59,105000,10000,0,0,0,0,0,258000
3,3,2,2,4,63200,3,3,1,1,35,0,225,0,0,0,3400,0,-225
6,3,3,2,3,41550,1,2,3,0,48,290000,50000,2100,200000,0,17500,0,351600
6,4,3,2,4,76225,2,1,2,1,47,220000,15000,6000,0,0,0,0,1317250
6,3,2,2,9,95350,4,2,3,1,12,300000,31000,0,50000,0,0,0,502800
5,4,3,2,4,63700,1,1,3,1,35,600000,43000,70000,0,0,0,225,1675275
4,4,2,2,4,163900,3,2,1,2,24,700000,2000,62500,220000,0,0,0,1387500
5,4,3,2,3,133900,4,1,1,2,35,875000,250000,110000,0,0,0,0,3233500
6,4,3,2,3,102775,1,1,3,0,35,625000,525000,82500,0,0,0,0,9179725
6,4,3,2,4,96900,1,2,1,1,24,675000,60000,40000,100000,0,1850,0,1628650
3,4,2,2,2,151675,3,2,1,3,48,360000,39000,67500,230000,0,0,0,685255
4,4,1,2,4,278075,3,1,1,3,48,675000,300000,175000,0,0,0,0,2748100
4,6,3,2,2,20875,1,3,2,9,10,0,475,0,0,0,0,0,5775
2,3,3,2,4,96350,9,2,1,2,59,525000,4100,15000,400000,0,15500,0,574600
6,4,3,2,3,42500,2,1,2,1,48,185000,95000,0,0,0,0,0,542000
6,4,3,2,3,37150,2,1,3,0,13,310000,4400,0,0,0,0,0,501900
5,4,1,2,4,298975,1,1,3,1,48,400000,165000,90000,0,0,0,0,5018000
6,4,3,2,1,37375,1,3,3,0,48,0,4100,0,0,0,0,0,34100
6,4,3,2,2,52000,2,1,3,0,59,725000,5000,87500,0,0,0,0,1254500
5,4,3,2,3,128200,2,1,1,1,35,1350000,2000,13500,0,0,40000,0,2986505
7,4,3,2,4,125900,9,1,3,0,11,1000000,80000,320000,0,0,0,0,2507000
6,4,3,2,4,192375,4,2,1,2,35,1200000,480000,0,45000,0,3900,0,2119600
7,4,3,2,2,33925,1,3,3,0,35,0,1500,0,0,0,0,0,78750
6,4,3,2,4,160975,4,2,2,2,59,3700000,1000,4000,220000,0,0,60000,5437500
6,4,2,2,4,92750,2,2,3,2,59,3000000,120000,0,800000,0,9500,0,2584500
6,3,3,2,4,74500,2,1,3,1,48,460000,60000,55000,0,0,11500,23000,972500
7,4,3,2,1,28425,1,1,3,0,47,80000,0,0,0,0,0,0,195000
7,6,3,2,2,153350,1,1,6,0,24,2100000,330000,0,0,0,0,0,2630000
3,4,2,2,2,74575,2,2,1,2,46,280000,2900,1500,120000,0,0,55000,222900
5,3,3,2,4,140250,2,2,1,2,10,300000,1900,105000,46000,0,5000,20000,2016400
4,4,2,2,4,79250,2,2,1,2,24,500000,5000,3000,210000,0,0,0,431500
6,4,3,2,3,92375,2,1,3,0,24,750000,2100,0,0,0,0,0,1853100
5,4,3,2,3,421925,2,2,1,2,48,625000,67500,80000,77500,0,0,0,931500
6,4,3,2,1,23000,1,1,6,0,13,44000,50000,0,0,0,0,0,139400
3,6,3,1,3,121950,3,2,1,2,10,500000,700,0,350000,0,525,0,322525
2,3,1,1,4,47550,1,3,1,1,24,0,0,0,0,0,10500,19000,586000
3,4,3,2,1,127100,9,1,1,2,35,775000,82500,34000,0,0,0,0,11230250
4,6,3,2,3,24000,3,3,3,0,48,0,0,0,0,0,0,0,500000
4,4,3,2,4,319550,3,2,1,3,35,3600000,19000,0,370000,0,0,1400000,6636000
4,4,3,2,4,74000,2,1,2,1,47,380000,5,8000,0,0,4100,7500,1812405
6,4,3,2,3,60575,1,1,3,0,47,410000,300000,82500,0,0,0,0,1589500
6,6,3,2,1,90350,2,1,3,1,24,260000,11500,41000,0,0,0,0,495500
6,4,3,2,4,83725,1,1,3,0,35,320000,21000,110000,0,0,0,75000,1568500
7,4,3,2,1,28075,1,1,3,0,48,175000,20000,0,0,0,0,0,259500
5,4,3,2,4,113875,2,2,3,1,24,600000,550,55000,160000,0,6250,25000,2228300
5,3,3,2,1,46150,2,2,2,2,35,600000,3900,14500,150000,0,1000,0,539000
6,4,3,2,2,35250,1,1,3,0,24,150000,600000,425,0,0,0,0,837350
6,2,2,2,3,66450,2,2,1,2,46,460000,1050,0,270000,0,100,0,301450
5,4,1,2,3,198900,2,2,1,2,35,875000,9500,22000,240000,0,0,0,1466505
6,4,3,2,4,110125,2,1,3,0,35,700000,67500,13500,0,0,0,0,2143000
6,2,3,2,4,224450,4,1,2,2,35,700000,8000,0,0,0,0,0,2203000
6,4,3,2,2,34600,1,1,3,0,48,340000,290000,100000,0,0,0,0,994050
5,3,2,2,3,16600,1,3,2,1,11,0,2100,0,0,0,600,0,10550
6,3,3,2,3,37250,2,2,3,0,47,130000,7000,13000,62500,0,500,0,401750
5,3,3,2,2,27400,4,2,3,0,24,700000,27000,0,100000,0,1750,0,1358250
6,4,2,2,3,67300,2,1,3,0,59,475000,4000,0,0,0,0,15000,1463500
7,4,3,2,4,39125,1,1,3,0,59,950000,100000,41000,0,0,0,0,1251750
5,4,3,2,4,109300,2,2,3,0,24,460000,2000,150000,230000,0,0,0,1567500
5,4,3,2,4,174200,1,1,1,1,47,330000,14500,67500,0,0,0,0,4533500
5,4,2,2,3,22450,1,3,2,1,12,0,950,2100,0,0,375,500,176175
3,4,3,2,3,157200,3,1,1,2,13,350000,250000,110000,0,0,0,0,1358000
2,4,3,2,2,96350,4,3,1,1,59,0,10500,250,0,0,0,0,59575
7,4,3,2,2,57500,2,1,3,0,46,390000,115000,72500,0,0,20000,0,794300
6,4,3,2,4,54050,1,3,3,0,59,0,38000,8000,0,0,82500,5250,727500
4,4,1,2,1,499925,4,1,1,2,35,875000,250000,300000,0,0,0,0,5714500
6,4,3,2,2,96450,4,2,1,1,35,925000,6250,0,62500,0,0,0,884800
6,4,3,2,4,86750,2,2,1,9,46,825000,40000,0,220000,0,0,0,1690500
6,6,2,2,2,32850,2,3,3,0,59,0,0,0,0,0,0,0,3000
6,4,3,2,4,143875,2,1,3,0,35,460000,105000,190000,0,0,0,0,3647000
6,4,2,2,2,22075,1,1,3,0,13,75000,2000,0,0,0,0,0,294000
6,5,2,2,1,45125,1,1,3,0,59,500000,43000,10500,0,0,0,0,1051800
6,3,1,2,2,29925,1,3,3,0,47,0,2000,0,0,0,31000,0,-28000
5,3,1,2,4,128975,2,2,1,2,47,280000,10000,0,190000,0,5750,17500,887100
6,4,3,2,4,118125,2,1,2,1,10,210000,87500,40000,0,0,0,0,875100
4,4,1,2,4,99350,3,1,1,1,35,1250000,10500,10000,0,0,0,0,2875450
6,3,2,2,4,51700,2,3,3,1,35,0,425,0,0,0,12000,0,73425
3,4,1,2,2,148000,3,2,1,2,35,1550000,6250,0,925000,0,0,280000,825875
6,4,2,2,4,99900,2,1,3,0,11,400000,135000,210000,0,0,2000,0,2080500
2,4,1,2,4,364025,9,2,1,2,46,400000,15000,105000,270000,0,0,0,538500
4,4,3,2,4,73650,4,3,1,2,59,0,5000,0,0,0,0,0,400200
